;PC4;Locatienaam;Locatienaam_2;Adres;PC6;Plaats;Cap_01012015;Cap_15112015;Soort;Duur;Cap_Gem;gc;Duur tot 4/11;
128;2381;CNO Zoeterwoude;Zoeterwoude;Hondsdrafweg 1;2381 BZ;Zoeterwoude;NA;NA;3;7;120;638;7;
134;2913;CNO ZuidplasNieuwerkerk;ZuidplasNieuwerkerk;Sportlaan 2;2913 LJ ;Nieuwerkerk a/d IJssel;NA;NA;3;6;150;1892;6;
188;7203;CNO Zutphen;Zutphen;Fanny Blankers-Koenweg 2 ;7203 AA;Zutphen;NA;NA;3;3;150;301;3;
144;3331;CNO Zwijndrecht;Zwijndrecht;Hobbemastraat;3331;Zwijndrecht;NA;NA;3;35;27;642;21;
76;7854;Aalden;Aalden;Aelderholt 4;7854TZ;Aalden;0;30;2;30;NA;109;;
15;2404;Alphen ad Rijn DJI;AlphenadRijn;Eikenlaan 36;2404BR;Alphen Aan Den Rijn;0;1085;2;26;NA;484;;
3;1102;Amsterdam DWI;AmsterdamDWI;Flierbosdreef 2;1102BC;Amsterdam Zuidoost;0;510;2;60;NA;363;;
1;1075;Amsterdam HS;AmsterdamHS;Havenstraat 6;1075PR;Amsterdam;0;350;2;53;NA;363;;
2;1101;Amsterdam ST;AmsterdamST;Haaksbergweg 4;1101BX;Amsterdam Zuidoost;0;220;2;54;NA;363;;
63;7321;Apeldoorn;Apeldoorn;De Voorwaarde 440;7321MG;Apeldoorn;0;479;2;77;NA;200;;
56;6812;Arnhem De Berg;ArnhemDeBerg;Wilhelminastraat 16;6812CW;Arnhem;0;400;2;64;NA;202;;
65;7361;Beekbergen;Beekbergen;Hoge Bergweg 30;7361GS;Beekbergen;0;30;2;30;NA;200;;
62;7271;Borculo;Borculo;Wessel van Eylilaan 15;7271NT;Borculo;0;130;2;25;NA;1859;;
16;2552;Den Haag;DenHaag2;Kiwistraat 5;2552DH;S-Gravenhage;0;40;2;32;NA;518;;
17;2595;Den Haag;DenHaagSWZ;Anna van Hannoverstraat 4;2595BJ;S-Gravenhage;0;100;2;6;NA;518;;
66;7414;Deventer;Deventer;Het Vlier 28;7414AS;Deventer;0;50;2;15;NA;150;;
55;6711;Ede;Ede;Nieuwe Kazernelaan 2;6711JC;Ede Gld;0;300;2;31;NA;228;;
59;6961;Eerbeek;Eerbeek;Boshoffweg 6;6961LD;Eerbeek;0;30;2;30;NA;213;;
101;9728;Groningen;Groningen;Van Swietenlaan 23;9728NX;Groningen;0;410;2;32;NA;14;;
11;2031;Haarlem de Koepel;HaarlemdeKoepel;Hamenjansweg 4;2031WK;Haarlem;0;392;2;61;NA;392;;
35;5527;Hapert;Hapert;Schouwberg 7;5527JH;Hapert;0;30;2;30;NA;1728;;
64;7351;Hoenderloo;Hoenderloo;Miggelenbergweg 65;7351BP;Hoenderloo;0;30;2;30;NA;200;;
68;7451;Holten;Holten;Landuwerweg 17;7451SP;Holten;0;30;2;30;NA;1742;;
86;8914;Leeuwarden WTC;LeeuwardenWTC;Heliconweg 52;8914AT;Leeuwarden;0;600;2;32;NA;80;;
14;2333;Leiden;Leiden1;Wassenaarseweg 54;2333AL;Leiden;0;251;2;18;NA;546;;
22;3888;Nieuw Milligen;NieuwMilligen;Grevenhout 21;3888NR;Uddel;0;30;2;30;NA;200;;
